Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,celltype,contrast,geneset
prerank,Neuronal System R-HSA-112316,0.47669504996016643,2.178530985984945,0.0,0.007913589687983898,0.008,78/164,21.45%,VAMP2;PRKAR2B;TSPAN7;HOMER1;SNAP25;GLRB;STXBP1;KCNAB2;NPTN;SYN1;LRRTM4;SLC17A7;CALM1;NEFL;SYT1;GABRA1;GABRG2;CACNB4;GABRB3;NCALD;PRKAR1B;RAB3A;RIMS1;NRGN;CAMK4;GABRA2;SLITRK4;GRM1;KCNH1;CAMK2B;KCNA2;CAMK2A;GABRB2;GABRA4;SYT7;CACNG3;GABBR2;SLITRK5;CAMKK1;KCNN2;GRM5;CACNA1B;KCNB1;NRXN1;HCN1;KCNH5;IL1RAPL2;KCNJ3;DLGAP2;RTN3;PLCB1;CACNG8;ADCY1;KCNA1;KCNC1;KCNH7;SYN2;DLGAP1;CACNB2;SLC1A2;KCNB2;GNG2;CPLX1;SYN3;KCND2;KCNJ6;GABRG3;GNAL;KCNQ5;ARL6IP5;GRIN2B;PRKAR1A;CACNA1A;GAD2;LIN7A;GRIA1;KCNC2;CAMKK2,Oligodendrocyte,region_FX,reactome
prerank,Uptake And Actions Of Bacterial Toxins R-HSA-5339562,0.7046570392589356,2.1594800357577193,0.002178649237472767,0.010301013321400938,0.009,12/16,24.52%,SYT2;SV2B;VAMP1;CALM1;STX1B;SV2A;SYT1;SNAP25;HSP90AA1;PDCD6IP;MAP2K1;HSP90AB1,Inhibitory,global_condition,reactome
prerank,Protein Localization R-HSA-9609507,0.7418299378746167,2.148745554320797,0.0,0.02077170154109014,0.004,13/24,12.72%,VAMP2;UBB;CHCHD10;VAPA;UBC;MTX2;CHCHD2;ATP5F1A;SLC25A4;VDAC1;ATP5F1B;APP;TOMM20,Inhibitory,region_FX,reactome
prerank,Host Interactions Of HIV Factors R-HSA-162909,0.6028132468698575,2.144070904916374,0.0,0.010883949148762173,0.025,14/25,19.49%,XPO1;PSME4;SEM1;RANBP2;ELMO1;UBB;RAN;SKP1;AP2M1;SLC25A4;UBC;PPIA;PKN2;ATP6V1H,Neuron,interaction_FX,reactome
prerank,MHC Class II Antigen Presentation R-HSA-2132295,0.5997023312051583,2.136167816038211,0.0,0.01003688477469835,0.015,15/29,18.33%,KIF5A;DNM1;CANX;CTSB;AP2M1;KIF3C;DYNC1H1;CAPZA2;CLTC;DYNLL2;AP2A2;KIFAP3;DYNC1LI2;KIF2A;KLC1,Inhibitory,global_condition,reactome
prerank,Neurotransmitter Receptors And Postsynaptic Signal Transmission R-HSA-112314,0.5172603315635079,2.1306734185473144,0.0,0.004327018319448644,0.013,39/80,24.31%,GRIK1;GABBR2;TSPAN7;CAMK4;GRIN2B;KCNJ6;GABRG2;NCALD;GLRB;GABRG3;GRIA4;LRRC7;GRIK4;RASGRF1;GNG7;CACNG2;NEFL;GABRA4;GABRB3;APBA1;ARHGEF9;GRIK3;GRIA2;CALM1;GRIN3A;CAMK2A;GABRA1;ADCY1;GABRB1;PPM1E;GNB5;GABRA2;DLG1;PRKAR1B;MAPT;NRG1;NBEA;ADCY8;ERBB4,Astrocyte,interaction_SC,reactome
prerank,Cellular Response To Heat Stress R-HSA-3371556,0.581671288864719,2.123468940020873,0.005263157894736842,0.02890150462503474,0.04,9/22,8.20%,HSPA1A;HSPH1;PTGES3;HSP90AA1;EEF1A1;HSPA5;HSPA8;HSP90AB1;ATM,Excitatory,interaction_FX,reactome
prerank,Signaling By Insulin Receptor R-HSA-74752,0.6178912574329554,2.1176052173981668,0.0,0.017495899398578457,0.011,13/27,20.06%,ATP6V1H;GAB2;IRS2;ATP6V1F;GRB2;ATP6V1B2;ATP6V1G1;INSR;FGF13;ATP6V1E1;PDE3B;PIK3R1;PIK3C3,Pericyte,global_condition,reactome
prerank,Protein Localization R-HSA-9609507,0.6460709630510448,2.116966169329561,0.0,0.04526068633964025,0.021,12/24,13.86%,ATP5F1A;CCNI;SLC25A12;UBC;ATP5F1B;VAPA;UBB;CHCHD10;SLC25A4;VDAC1;CHCHD3;CHCHD2,Neuron,region_MCX,reactome
prerank,Transmission Across Chemical Synapses R-HSA-112315,0.44750845521678506,2.1158677428364125,0.0,0.012678170241724232,0.02,40/111,16.94%,NRGN;CACNG3;CAMK2B;CAMKK1;SLC38A2;CPLX1;NEFL;GNAL;ABAT;CAMKK2;PRKAR1B;STXBP1;CACNG2;SYN1;GABRG2;AP2M1;GNB1;CAMK2G;CALM1;ADCY1;RAB3A;SLC17A7;TSPAN7;SLC6A1;GAD1;GAD2;NSF;GNB5;CACNG8;PDPK1;CAMK2A;GABRA1;SYT1;KCNJ6;AP2A2;EPB41L1;MAPT;GRIN2B;ARL6IP5;GABRB2,Inhibitory,global_condition,reactome
